,time,latitude,longitude
243,2017-07-14 20:07:01.000,-157876367,-479369682
244,2017-07-14 20:07:16.000,-157876317,-479369733
245,2017-07-14 20:56:21.073,-158541906,-479559866
246,2017-07-14 20:56:28.000,-158548917,-479559282
247,2017-07-14 20:56:43.000,-158554967,-479560233
248,2017-07-14 20:56:59.000,-158560400,-479560950
249,2017-07-17 19:10:29.811,-157827324,-479950584
250,2017-07-17 19:10:34.000,-157825783,-479952183
251,2017-07-17 19:10:50.000,-157826900,-479951300
252,2017-07-17 19:11:23.988,-157827689,-479952132
253,2017-07-17 19:11:28.000,-157827167,-479950750
254,2017-07-17 19:11:44.000,-157827283,-479950917
255,2017-07-17 19:11:59.000,-157827300,-479951482
256,2017-07-17 19:13:23.624,-157827368,-479951551
257,2017-07-17 19:14:23.684,-157827367,-479952325
258,2017-07-17 19:14:44.000,-157826633,-479950617
259,2017-07-17 19:15:00.000,-157828083,-479950167
260,2017-07-17 19:15:16.000,-157828100,-479950283
261,2017-07-17 19:15:46.000,-157828033,-479949217
262,2017-07-17 19:17:24.892,-157827872,-479952132
263,2017-07-17 19:19:26.478,-157827232,-479950971
264,2017-07-17 19:21:27.544,-157827323,-479951358
265,2017-07-17 19:23:28.555,-157827185,-479951551
266,2017-07-17 19:25:37.497,-157827185,-479951551
267,2017-07-17 19:28:13.434,-157827185,-479951551
268,2017-07-17 19:30:46.654,-157827140,-479950584
269,2017-07-17 19:31:48.871,-157827324,-479950584
270,2017-07-17 19:36:49.465,-157827734,-479952325
271,2017-07-17 19:39:00.352,-157827552,-479951551
272,2017-07-17 19:41:09.664,-157827369,-479950777
273,2017-07-17 19:43:10.005,-157827597,-479951745
274,2017-07-17 19:45:11.367,-157827597,-479951745
275,2017-07-17 19:47:12.385,-157827232,-479950971
276,2017-07-17 19:49:12.625,-157827643,-479951938
277,2017-07-17 19:51:18.455,-157827140,-479950584
278,2017-07-17 19:53:20.520,-157827369,-479950777
279,2017-07-17 19:56:30.238,-157827552,-479951551
280,2017-07-17 19:58:34.948,-157827689,-479952132
281,2017-07-17 20:00:37.164,-157827368,-479951551
282,2017-07-17 20:02:40.096,-157827026,-479950487
283,2017-07-17 20:04:42.146,-157827324,-479950584
284,2017-07-17 20:06:43.979,-157827186,-479950777
285,2017-07-17 20:08:44.020,-157826957,-479950584
286,2017-07-17 20:10:47.557,-157827278,-479950390
287,2017-07-18 12:21:59.000,-158172133,-480135150
288,2017-07-18 12:22:15.000,-158178450,-480148217
289,2017-07-18 12:22:30.000,-158184417,-480163900
290,2017-07-18 12:22:46.000,-158193967,-480183183
291,2017-07-18 12:25:45.000,-158294650,-480363183
292,2017-07-18 12:26:01.000,-158295800,-480366483
293,2017-07-18 12:26:16.000,-158296533,-480377750
294,2017-07-18 12:26:32.000,-158297667,-480384766
295,2017-07-18 12:26:47.000,-158297717,-480385500
296,2017-07-18 12:27:03.000,-158295867,-480390183
297,2017-07-18 12:27:18.000,-158297483,-480400650
298,2017-07-18 12:27:34.000,-158303217,-480419700
299,2017-07-18 12:27:49.000,-158306350,-480442317
300,2017-07-18 12:28:05.000,-158311200,-480464367
301,2017-07-18 12:28:20.000,-158314667,-480484917
302,2017-07-18 12:28:36.000,-158317200,-480504850
303,2017-07-18 12:28:51.000,-158319667,-480518900
304,2017-07-18 12:29:07.000,-158324200,-480533467
305,2017-07-18 12:29:28.000,-158331433,-480558050
306,2017-07-18 12:29:47.000,-158334267,-480565467
307,2017-07-18 12:41:19.223,-158436484,-480456049
308,2017-07-18 12:43:24.356,-158442324,-480442685
309,2017-07-18 12:44:26.402,-158444504,-480442976
310,2017-07-18 12:45:26.291,-158446686,-480440942
311,2017-07-18 12:46:27.342,-158448479,-480436875
312,2017-07-18 12:47:27.336,-158459106,-480434841
313,2017-07-18 12:48:33.322,-158457661,-480434551
314,2017-07-18 12:49:34.355,-158457248,-480434357
315,2017-07-18 12:50:22.523,-158457477,-480434551
316,2017-07-18 12:51:36.417,-158461906,-480435035
317,2017-07-18 12:52:37.604,-158468306,-480437650
318,2017-07-18 12:53:38.270,-158464181,-480431065
319,2017-07-18 12:54:38.338,-158442043,-480450045
320,2017-07-18 12:55:41.065,-158425374,-480459535
321,2017-07-18 12:56:48.284,-158370226,-480488782
322,2017-07-18 12:57:38.903,-158316608,-480522583
323,2017-07-18 13:13:05.242,-158318370,-481109215
324,2017-07-18 13:13:21.000,-158277583,-481114767
325,2017-07-18 13:13:36.000,-158273933,-481117350
326,2017-07-19 13:37:40.921,-157827324,-479950584
327,2017-07-19 13:37:56.397,-157826567,-479951967
328,2017-07-19 13:38:07.000,-157827367,-479951767
329,2017-07-19 13:38:27.000,-157827567,-479952017
330,2017-07-19 13:38:47.000,-157827683,-479951800
331,2017-07-19 13:39:02.000,-157827733,-479951900
332,2017-07-19 13:39:17.000,-157827667,-479951932
333,2017-07-19 13:40:29.200,-157827826,-479951938
334,2017-07-19 13:41:33.626,-157828055,-479952132
335,2017-07-19 13:43:34.936,-157826957,-479950584
336,2017-07-19 13:45:36.096,-157827095,-479950390
337,2017-07-19 13:46:06.333,-157827324,-479950584
338,2017-07-19 13:48:26.820,-157827185,-479951551
339,2017-07-19 13:50:27.923,-157827459,-479952712
340,2017-07-19 13:52:27.914,-157825142,-479954163
341,2017-07-19 13:54:27.864,-157826909,-479951938
342,2017-07-19 13:56:27.896,-157827733,-479953099
343,2017-07-19 13:58:27.746,-157826706,-479948971
344,2017-07-19 14:00:28.726,-157826977,-479952615
345,2017-07-19 14:02:37.884,-157827185,-479951551
346,2017-07-19 14:04:37.987,-157826933,-479951648
347,2017-07-19 14:06:38.036,-157830119,-479951551
348,2017-07-19 14:08:38.283,-157840295,-479953486
349,2017-07-19 14:10:38.188,-157846834,-479948939
350,2017-07-19 14:12:38.189,-157854330,-479949229
351,2017-07-19 14:14:38.070,-157857132,-479944779
352,2017-07-19 14:16:50.886,-157857288,-479929879
353,2017-07-19 14:20:51.758,-157860405,-479929879
354,2017-07-19 14:22:51.546,-157871107,-480065535
355,2017-07-19 18:14:36.108,-159388308,-478293022
356,2017-07-19 18:14:51.000,-159447867,-478380032
357,2017-07-19 18:15:07.000,-159428250,-478341050
358,2017-07-19 18:15:22.000,-159408467,-478305800
359,2017-07-19 18:15:37.000,-159395983,-478278917
360,2017-07-20 01:43:43.158,-163666981,-450677941
361,2017-07-20 01:45:39.777,-163702021,-450662642
362,2017-07-20 01:47:46.917,-163702021,-450662642
363,2017-07-20 01:49:46.945,-163702021,-450662642
364,2017-07-20 01:51:47.985,-163679174,-450721014
365,2017-07-20 01:52:50.317,-163702021,-450662642
366,2017-07-20 01:54:53.188,-163702021,-450662642
367,2017-07-20 01:56:50.347,-163677707,-450077233
368,2017-07-25 15:13:33.664,-158182294,-481542729
369,2017-07-25 15:13:49.860,-158182300,-481542737
370,2017-07-25 15:14:07.761,-158182294,-481542729
371,2017-07-25 15:14:25.924,-158182318,-481542760
372,2017-07-25 15:14:45.448,-158182294,-481542729
373,2017-07-25 15:15:00.571,-158182294,-481542729
374,2017-07-25 15:15:15.692,-158182318,-481542760
375,2017-07-25 15:15:32.240,-158182294,-481542729
376,2017-07-25 15:15:40.000,-158180250,-481526133
377,2017-07-25 15:15:56.000,-158183950,-481542817
378,2017-07-25 15:16:11.000,-158183867,-481542550
379,2017-07-25 15:16:26.000,-158183733,-481541416
380,2017-07-25 15:17:07.933,-158182318,-481542760
381,2017-07-25 15:18:10.334,-158182294,-481542729
382,2017-07-25 15:19:11.422,-158182318,-481542760
383,2017-07-25 15:19:55.852,-158182294,-481542729
384,2017-07-25 15:21:12.597,-158182294,-481542729
385,2017-07-25 15:23:13.608,-158182294,-481542729
386,2017-07-25 15:25:15.334,-158182294,-481542729
387,2017-07-25 15:27:16.296,-158182294,-481542729
388,2017-07-25 15:29:17.363,-158182294,-481542729
389,2017-07-25 15:31:08.507,-158183629,-481541371
390,2017-07-25 15:33:20.957,-158182294,-481542729
391,2017-07-25 15:35:31.113,-158182294,-481542729
392,2017-07-25 15:37:26.035,-158182547,-481542632
393,2017-07-25 15:39:30.907,-158190492,-481467487
394,2017-07-25 15:41:40.988,-158190492,-481467487
395,2017-07-25 15:43:42.065,-158190492,-481467487
396,2017-07-25 15:45:07.090,-158182294,-481542729
397,2017-07-25 15:46:13.178,-158183627,-481542147
398,2017-07-25 15:47:13.322,-158182707,-481542923
399,2017-07-25 15:48:14.326,-158182318,-481542760
400,2017-07-25 15:49:14.345,-158182318,-481542760
401,2017-07-25 15:50:14.279,-158182318,-481542760
402,2017-07-25 15:51:14.344,-158182318,-481542760
403,2017-07-25 15:52:15.394,-158182318,-481542760
404,2017-07-25 15:53:16.272,-158182318,-481542760
405,2017-07-25 15:54:17.328,-158183503,-481541838
406,2017-07-25 15:55:24.615,-158182318,-481542760
407,2017-07-25 15:56:25.435,-158182478,-481542729
408,2017-07-25 15:57:26.180,-158182294,-481542729
409,2017-07-25 15:59:26.250,-158183214,-481541953
410,2017-07-25 16:01:34.345,-158182318,-481542760
411,2017-07-25 16:03:34.172,-158182294,-481542729
412,2017-07-25 16:05:14.793,-158182318,-481542760
413,2017-07-25 16:07:23.072,-158184202,-481541856
414,2017-07-25 16:09:24.122,-158182294,-481542729
415,2017-07-25 16:10:51.101,-158182318,-481542760
416,2017-07-25 16:10:57.613,-158182294,-481542729
417,2017-07-25 16:12:58.166,-158182294,-481542729
418,2017-07-25 16:15:32.244,-158182478,-481542729
419,2017-07-25 16:17:36.348,-158182294,-481542729
420,2017-07-25 16:17:53.439,-158182318,-481542760
421,2017-07-25 16:19:54.494,-158190492,-481467487
422,2017-07-25 16:21:55.542,-158027880,-481312135
423,2017-07-25 16:23:57.896,-158182318,-481542760
424,2017-07-25 16:26:01.655,-158190492,-481467487
425,2017-07-25 16:28:15.101,-158190492,-481467487
426,2017-07-25 16:30:28.044,-158190492,-481467487
427,2017-07-25 16:32:24.341,-158182294,-481542729
428,2017-07-25 16:33:29.419,-158190492,-481467487
429,2017-07-25 16:34:39.223,-158190492,-481467487
430,2017-07-25 16:36:41.133,-158182294,-481542729
431,2017-07-25 16:37:43.802,-158182294,-481542729
432,2017-07-25 16:38:56.329,-158182318,-481542760
433,2017-07-25 16:39:50.081,-158182318,-481542760
434,2017-07-25 16:41:00.175,-158190492,-481467487
435,2017-07-25 16:43:00.771,-158190492,-481467487
436,2017-07-25 16:45:10.842,-158190492,-481467487
437,2017-07-25 16:47:11.619,-158190492,-481467487
438,2017-07-25 16:49:21.769,-158027880,-481312135
439,2017-07-25 16:51:23.026,-158182318,-481542760
440,2017-07-25 16:53:15.028,-158182294,-481542729
441,2017-07-25 16:54:30.806,-158190492,-481467487
442,2017-07-25 16:55:30.825,-158190492,-481467487
443,2017-07-25 16:57:32.091,-158182318,-481542760
444,2017-07-25 16:59:33.204,-158182294,-481542729
445,2017-07-25 17:00:35.277,-158182294,-481542729
446,2017-07-25 17:01:35.335,-158182522,-481543700
447,2017-07-25 17:02:35.328,-158182707,-481542923
448,2017-07-25 17:03:35.345,-158181788,-481542923
449,2017-07-25 17:04:35.163,-158176516,-481536907
450,2017-07-25 17:10:36.471,-158112651,-481509023
451,2017-07-25 17:38:30.066,-158197841,-480097187
452,2017-07-25 17:40:30.812,-157808295,-480014169
453,2017-07-25 17:44:42.214,-157815605,-480009024
454,2017-07-25 17:46:43.023,-157821906,-479993736
455,2017-07-25 17:51:10.251,-157821906,-479993736
456,2017-07-25 17:52:11.634,-157821906,-479993736
457,2017-07-25 17:54:12.058,-158253033,-480239654
458,2017-07-25 17:56:12.069,-158253033,-480239654
459,2017-07-25 17:58:12.084,-158052488,-480080981
460,2017-07-25 18:00:12.105,-158052488,-480080981
461,2017-07-25 18:02:12.098,-158052488,-480080981
462,2017-07-25 18:04:12.109,-158052488,-480080981
463,2017-07-25 18:06:14.447,-157827110,-479950079
464,2017-07-25 18:08:14.475,-157827183,-479953099
465,2017-07-25 18:10:14.397,-157828288,-479952667
466,2017-07-25 18:12:14.729,-157827278,-479950390
467,2017-07-25 18:13:14.557,-157823585,-479952228
468,2017-07-25 18:14:17.032,-157827231,-479951745
469,2017-07-25 18:15:17.045,-157827208,-479951261
470,2017-07-25 18:16:14.554,-157827003,-479950777
471,2017-07-25 18:17:17.464,-157827095,-479950390
472,2017-07-31 22:45:24.511,-157811889,-480010378
473,2017-07-31 22:45:33.000,-157805267,-479999533
474,2017-07-31 22:45:48.000,-157801783,-480013367
475,2017-07-31 22:48:09.752,-157812298,-480012041
476,2017-07-31 22:50:07.068,-157813174,-480009603
477,2017-07-31 22:51:26.867,-157811701,-480013475
478,2017-07-31 22:52:29.722,-157813491,-480012507
479,2017-07-31 22:53:32.398,-157813215,-480012894
480,2017-07-31 22:54:20.448,-157812894,-480013087
481,2017-07-31 22:56:32.427,-157811613,-480010765
482,2017-07-31 22:58:53.457,-157812298,-480012041
483,2017-07-31 23:01:31.319,-157811154,-480011153
484,2017-07-31 23:04:02.571,-157812577,-480010185
485,2017-07-31 23:06:35.321,-157814272,-480011153
486,2017-07-31 23:08:36.860,-157813951,-480011346
487,2017-07-31 23:10:40.072,-157814998,-480011485
488,2017-08-05 18:53:44.000,-157827017,-479990417
489,2017-08-05 18:54:00.000,-157820033,-480001800
490,2017-08-05 18:54:15.000,-157821383,-480006100
491,2017-08-12 15:09:10.918,-158073150,-480820133
492,2017-08-12 15:09:14.431,-158060356,-480798035
493,2017-08-12 15:09:30.000,-158070300,-480823533
494,2017-08-12 15:09:46.000,-158072900,-480820683
495,2017-08-12 15:10:01.000,-158073150,-480820133
496,2017-08-12 15:10:17.000,-158073150,-480820133
497,2017-08-12 15:11:19.605,-158082269,-480810216
498,2017-08-12 15:12:20.698,-158072270,-480820391
499,2017-08-12 15:13:50.173,-158072201,-480820488
